train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
2023-01-05,2023-01-13,2023-03-16,0.6062035823503713,0.5791433891992551,0.5658366098733072,0.875,0.0148975791433892
2023-03-09,2023-03-17,2023-05-17,0.5003962313991371,0.5477178423236515,0.5107686889143259,0.5454545454545454,0.2053941908713693
2023-05-10,2023-05-18,2023-07-14,0.5635515033105395,0.5610236220472441,0.5573258284101658,0.5978260869565217,0.18110236220472442
2023-07-07,2023-07-17,2023-09-08,0.6502480741611177,0.4874274661508704,0.5850796448622535,0.5649717514124294,0.34235976789168276
2023-09-01,2023-09-11,2023-11-13,0.6518307672402639,0.6127562642369021,0.617835425022642,0.6528925619834711,0.275626423690205
2023-11-06,2023-11-14,2024-01-09,0.38588801777887527,0.44541484716157204,0.4296149968105027,0.40869565217391307,0.25109170305676853
2024-01-02,2024-01-10,2024-03-13,0.6898418654516216,0.6046511627906976,0.6215893862235325,0.6585365853658537,0.3178294573643411
2024-03-06,2024-03-14,2024-05-15,0.6010265700483092,0.5367847411444142,0.5560235507246377,0.6744186046511628,0.23433242506811988
2024-05-08,2024-05-16,2024-07-11,0.48813209494324045,0.4746192893401015,0.46411248710010317,0.4426229508196721,0.1548223350253807
2024-07-04,2024-07-12,2024-09-05,0.5190261014329033,0.5931758530183727,0.48378322135679885,0.7916666666666666,0.06299212598425197
2024-08-29,2024-09-06,2024-11-11,0.5374140666314119,0.5863192182410424,0.5711043539573417,0.49230769230769234,0.21172638436482086
2024-11-04,2024-11-12,2025-01-07,0.5882599580712788,0.5197132616487455,0.5551100628930817,0.5775862068965517,0.4157706093189964
2024-12-30,2025-01-08,2025-03-12,0.7145276946530404,0.7118055555555556,0.682767771441477,0.703125,0.2222222222222222
2025-03-05,2025-03-13,2025-05-13,0.51265625,0.5,0.520625,0.5,0.4460431654676259
2025-05-06,2025-05-14,2025-07-09,0.5287106135986733,0.5165876777251185,0.5061670812603648,0.3958333333333333,0.22748815165876776
2025-07-02,2025-07-10,2025-09-03,0.5699918896999189,0.7252747252747253,0.5862124898621248,0.7619047619047619,0.46153846153846156
2025-08-27,2025-09-04,2025-11-06,0.6117513697336106,0.5753424657534246,0.541847723408275,0.6170212765957447,0.6438356164383562
2025-10-30,2025-11-07,2026-01-05,0.5172064777327935,0.5565217391304348,0.46474358974358976,0.58,0.43478260869565216
2025-12-25,2026-01-06,2026-03-10,0.5518341307814992,0.5895522388059702,0.5334928229665071,0.6043956043956044,0.6791044776119403
