date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,symbol,name
2022-01-04,35.16,35.3,35.42,34.84,9236.0,33067378.0,1.65,0.31,0.11,1.83,688001,华兴源创
2022-01-04,77.47,75.81,78.33,75.33,18229.0,139856650.0,3.85,-2.83,-2.21,0.71,688002,睿创微纳
2022-01-04,36.76,37.28,37.93,36.36,10700.0,41661074.0,4.33,2.9,1.05,1.46,688003,天准科技
2022-01-04,24.94,26.02,26.25,24.94,15064.0,55039436.0,5.27,4.62,1.15,3.79,688004,博汇科技
2022-01-04,84.24,80.72,86.51,78.7,14375441.0,14375441.0,0.0967542120911794,,,,688005,容百科技
2022-01-05,35.3,35.82,35.98,34.64,20299.0,73345037.0,3.8,1.47,0.52,4.03,688001,华兴源创
2022-01-05,75.81,73.26,76.45,72.75,23064.0,171552328.0,4.88,-3.36,-2.55,0.9,688002,睿创微纳
2022-01-05,37.48,36.63,37.68,36.33,9577.0,37019079.0,3.62,-1.74,-0.65,1.31,688003,天准科技
2022-01-05,26.31,25.95,26.75,25.74,12692.0,46900319.0,3.88,-0.27,-0.07,3.19,688004,博汇科技
2022-01-05,81.87,79.47,82.89,77.9,9315409.0,9315409.0,0.062790990310809,-0.0154856293359761,-1.25,,688005,容百科技
2022-01-06,35.42,35.5,35.94,35.42,10518.0,38249776.0,1.45,-0.89,-0.32,2.09,688001,华兴源创
2022-01-06,73.18,73.05,74.83,72.82,16072.0,119041664.0,2.74,-0.29,-0.21,0.63,688002,睿创微纳
2022-01-06,36.04,38.31,38.81,35.87,18996.0,75581035.0,8.03,4.59,1.68,2.59,688003,天准科技
2022-01-06,26.03,25.96,26.51,25.69,7738.0,28565223.0,3.16,0.04,0.01,1.95,688004,博汇科技
2022-01-06,79.36,82.88,84.74,77.61,9660638.0,9660638.0,0.0860279922779922,0.0429092739398515,3.4099999999999966,,688005,容百科技
2022-01-07,35.43,35.62,35.86,35.1,12521.0,45165949.0,2.14,0.34,0.12,2.48,688001,华兴源创
2022-01-07,73.41,72.31,73.41,71.16,22284.0,162117441.0,3.08,-1.01,-0.74,0.87,688002,睿创微纳
2022-01-07,38.5,37.96,39.46,37.82,17364.0,70200367.0,4.28,-0.91,-0.35,2.37,688003,天准科技
2022-01-07,26.18,25.82,27.12,25.51,14180.0,52771631.0,6.2,-0.54,-0.14,3.56,688004,博汇科技
2022-01-07,81.7,77.92,82.65,75.84,8972848.0,8972848.0,0.0873973305954825,-0.0598455598455597,-4.959999999999994,,688005,容百科技
2022-01-10,35.62,36.41,36.51,34.89,16703.0,61323314.0,4.55,2.22,0.79,3.31,688001,华兴源创
2022-01-10,72.43,70.1,72.43,68.75,36202.0,255486375.0,5.09,-3.06,-2.21,1.41,688002,睿创微纳
2022-01-10,38.18,37.74,39.06,37.56,8414.0,33479291.0,3.95,-0.58,-0.22,1.15,688003,天准科技
2022-01-10,26.11,26.25,26.45,25.48,10207.0,37609300.0,3.76,1.67,0.43,2.57,688004,博汇科技
2022-01-10,80.86,84.58,85.64,79.51,15537285.0,15537285.0,0.0724757625916291,0.0854722792607802,6.659999999999997,,688005,容百科技
2022-01-11,36.37,35.92,36.9,35.88,13184.0,48927121.0,2.8,-1.35,-0.49,2.62,688001,华兴源创
2022-01-11,70.09,70.05,71.91,69.33,22193.0,157143853.0,3.68,-0.07,-0.05,0.87,688002,睿创微纳
2022-01-11,38.06,36.0,38.06,35.71,16449.0,63002591.0,6.23,-4.61,-1.74,2.24,688003,天准科技
2022-01-11,26.14,25.52,26.56,25.48,9032.0,32982282.0,4.11,-2.78,-0.73,2.27,688004,博汇科技
2022-01-11,85.59,80.86,85.59,79.51,7586508.0,7586508.0,0.0751916893395992,-0.0439820288484275,-3.719999999999999,,688005,容百科技
2022-01-12,36.42,36.07,36.42,35.82,8735.0,32085090.0,1.67,0.42,0.15,1.73,688001,华兴源创
2022-01-12,69.97,69.35,70.65,68.29,25730.0,179256314.0,3.37,-1.0,-0.7,1.0,688002,睿创微纳
2022-01-12,36.19,35.82,36.38,35.31,10700.0,40168734.0,2.97,-0.5,-0.18,1.46,688003,天准科技
2022-01-12,25.78,25.83,26.09,25.64,4163.0,15195173.0,1.76,1.21,0.31,1.05,688004,博汇科技
