variant,label,train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
full_method,RDSW full (benchmark-thoughtful),2024-06-06,2024-06-17,2024-09-27,0.6255411255411255,0.627906976744186,0.6287878787878788,0.6086956521739131,0.5348837209302325
full_method,RDSW full (benchmark-thoughtful),2024-09-20,2024-09-30,2025-03-17,0.7377450980392157,0.6739130434782609,0.6715686274509804,0.7727272727272727,0.4782608695652174
full_method,RDSW full (benchmark-thoughtful),2025-02-19,2025-03-18,2025-07-04,0.6428571428571428,0.6444444444444445,0.5214285714285715,0.7083333333333334,0.5333333333333333
ablate_denoise_strength,Ablation: weaker denoising,2024-01-15,2024-01-19,2024-04-02,0.6274390243902439,0.6296296296296297,0.6326219512195121,0.6428571428571429,0.5185185185185185
ablate_denoise_strength,Ablation: weaker denoising,2024-03-28,2024-04-03,2024-06-11,0.5175202156334232,0.5675675675675675,0.5399820305480683,0.55,0.2702702702702703
ablate_denoise_strength,Ablation: weaker denoising,2024-06-05,2024-06-12,2024-08-12,0.6594315245478035,0.5795454545454546,0.5795865633074935,0.7692307692307693,0.4431818181818182
ablate_denoise_strength,Ablation: weaker denoising,2024-08-07,2024-08-13,2024-10-25,0.6878654970760233,0.6621621621621622,0.6578947368421053,0.72,0.33783783783783783
ablate_denoise_strength,Ablation: weaker denoising,2024-10-17,2024-10-29,2025-01-09,0.7858851674641147,0.6666666666666666,0.6985645933014355,0.8181818181818182,0.55
ablate_denoise_strength,Ablation: weaker denoising,2025-01-06,2025-01-10,2025-03-27,0.7272727272727273,0.7605633802816901,0.6637291280148423,0.7777777777777778,0.7605633802816901
ablate_denoise_strength,Ablation: weaker denoising,2025-03-24,2025-03-28,2025-06-04,0.5845410628019324,0.5735294117647058,0.49710144927536226,0.6086956521739131,0.6764705882352942
ablate_denoise_strength,Ablation: weaker denoising,2025-05-29,2025-06-05,2025-08-20,0.8757062146892655,0.6,0.7048022598870056,0.62,0.7692307692307693
ablate_denoise_strength,Ablation: weaker denoising,2025-08-15,2025-08-21,2026-01-13,0.71875,0.5681818181818182,0.6510416666666667,0.65625,0.7272727272727273
ablate_time_decay,Ablation: remove time decay,2024-06-06,2024-06-17,2024-09-27,0.6298701298701299,0.6744186046511628,0.6742424242424242,0.5909090909090909,0.5116279069767442
ablate_time_decay,Ablation: remove time decay,2024-09-20,2024-09-30,2025-03-17,0.7058823529411765,0.717391304347826,0.6740196078431373,0.7647058823529411,0.3695652173913043
ablate_time_decay,Ablation: remove time decay,2025-02-19,2025-03-18,2025-07-04,0.6742857142857144,0.7333333333333333,0.65,0.68,0.5555555555555556
ablate_recent_window,Ablation: full history window,2024-06-06,2024-06-17,2024-09-27,0.6255411255411255,0.627906976744186,0.6287878787878788,0.6086956521739131,0.5348837209302325
ablate_recent_window,Ablation: full history window,2024-09-20,2024-09-30,2025-03-17,0.7377450980392156,0.6956521739130435,0.6862745098039216,0.75,0.5217391304347826
ablate_recent_window,Ablation: full history window,2025-02-19,2025-03-18,2025-07-04,0.6400000000000001,0.6,0.4571428571428572,0.6666666666666666,0.5333333333333333
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2024-06-06,2024-06-17,2024-09-27,0.6255411255411255,0.627906976744186,0.6287878787878788,0.6086956521739131,0.5348837209302325
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2024-09-20,2024-09-30,2025-03-17,0.7377450980392157,0.6739130434782609,0.6715686274509804,0.7727272727272727,0.4782608695652174
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,2025-02-19,2025-03-18,2025-07-04,0.6428571428571428,0.6444444444444445,0.5214285714285715,0.7083333333333334,0.5333333333333333
