variant,label,threshold_mode,decision_metric,decision_threshold,confidence_threshold,neutral_quantile,label_denoise_mode,sample_weight_halflife_days,max_train_days,enable_layered_model,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_high_conf_accuracy,calibrated_high_conf_balanced_accuracy,calibrated_coverage,selection_score,signal_priority_score,accuracy_priority_score,balanced_priority_score,joint_priority_score,signal_quality,delta_selection_score_vs_full,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_auc_vs_full
ablate_time_decay,Ablation: remove time decay,calibrated,joint,0.5,0.71,0.985,fixed,100000,260.0,True,0.6700127323656736,0.7083810807774408,0.6660873440285204,0.6785383244206774,0.4789162266412014,0.7089552238805971,0.6814464605162279,0.8235294117647058,0.8928571428571428,0.12686567164179105,0.6926820312151386,0.49631025666318795,0.7104449544371141,0.650388561071886,0.6926820312151386,0.3249630139629942,0.04277298806870855,0.05962625922181031,0.05882565147271024,0.001298276886512184
ablate_recent_window,Ablation: full history window,calibrated,joint,0.46,0.69,0.985,fixed,240,,True,0.6677620745267804,0.6411863835524098,0.5907350819115526,0.6751207729468599,0.5299853948994495,0.6791044776119403,0.6226680296447739,0.6818181818181818,0.8055555555555556,0.16417910447761194,0.6525738357181994,0.4896750142063534,0.6692090203747154,0.6193095625939957,0.6525738357181994,0.3578041494550631,0.0026647925717693255,-0.007568438003220712,-0.016526610644257644,-0.0009523809523810378
full_method,RDSW full (benchmark-thoughtful),calibrated,joint,0.46,0.63,0.985,fixed,240,260.0,True,0.6687144554791614,0.6487548215556305,0.6072616925558102,0.6965854194115063,0.515492641276261,0.6791044776119403,0.6165346281625351,0.7254901960784313,0.7261363636363636,0.3805970149253731,0.64990904314643,0.49546372772606007,0.6727990687212617,0.616868058944655,0.64990904314643,0.35908465772696946,0.0,0.0,0.0,0.0
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,fixed,fixed,0.5,0.6,0.985,fixed,240,260.0,True,0.6687144554791614,0.6487548215556305,0.6072616925558102,0.6965854194115063,0.515492641276261,0.6492537313432836,0.6313570150779453,0.6956521739130435,0.6503267973856209,0.5149253731343284,0.6431462814374692,0.49546372772606007,0.6541281767808406,0.6160754464894255,0.6431462814374692,0.35908465772696946,-0.0067627617089608405,0.0,0.0,0.0
ablate_denoise_strength,Ablation: weaker denoising,calibrated,joint,0.48,0.72,0.95,fixed,240,260.0,True,0.6871568259861704,0.623094010088855,0.6250360421180546,0.6847770178023802,0.5614828788698807,0.632,0.5966686628074611,0.7195121951219512,0.7049446974625895,0.1312,0.6216165808619745,0.5171874635024565,0.6437250428312398,0.6023813205945527,0.6216165808619745,0.38449057133961195,-0.02829246228445559,-0.025660811466775457,0.01777434956224444,0.01844237050700903
