train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
2023-01-05,2023-01-13,2023-03-16,0.5738935821460094,0.5222222222222223,0.5566258983734712,0.6890756302521008,0.0661111111111111
2023-03-09,2023-03-17,2023-05-17,0.3688438735177865,0.425,0.4228260869565218,0.33935018050541516,0.15388888888888888
2023-05-10,2023-05-18,2023-07-14,0.4957184154720924,0.4911111111111111,0.5063587089528784,0.5454545454545454,0.006111111111111111
2023-07-07,2023-07-17,2023-09-08,0.544953857511997,0.4122222222222222,0.5358300614114567,0.36261980830670926,0.3477777777777778
2023-09-01,2023-09-11,2023-11-13,0.6202356420182584,0.5988888888888889,0.590288159183463,0.6008403361344538,0.1322222222222222
2023-11-06,2023-11-14,2024-01-09,0.43815814946702725,0.49666666666666665,0.39312972620982173,0.553475935828877,0.20777777777777778
2024-01-02,2024-01-10,2024-03-13,0.6333667409057164,0.5506117908787542,0.5509910913140312,0.60695468914647,0.5278086763070078
2024-03-06,2024-03-14,2024-05-15,0.6426067225183165,0.5783333333333334,0.5954629210354339,0.7288629737609329,0.19055555555555556
2024-05-08,2024-05-16,2024-07-11,0.5490710073030564,0.5944444444444444,0.5162873108900096,0.7004830917874396,0.23
2024-07-04,2024-07-12,2024-09-05,0.5288176272542418,0.5972222222222222,0.471065702190073,0.6972789115646258,0.16333333333333333
2024-08-29,2024-09-06,2024-11-11,0.3651141244841236,0.37833333333333335,0.38389422980512006,0.4555765595463138,0.29388888888888887
2024-11-04,2024-11-12,2025-01-07,0.5424241946626949,0.45525291828793774,0.5545426724353064,0.390715667311412,0.2873818788215675
2024-12-30,2025-01-08,2025-03-12,0.613322793272777,0.5414118954974986,0.5830764438462601,0.29545454545454547,0.07337409672040023
2025-03-05,2025-03-13,2025-05-13,0.5814613260525581,0.4633333333333333,0.4935931246315659,0.525974025974026,0.3422222222222222
2025-05-06,2025-05-14,2025-07-09,0.5876222840602123,0.5683333333333334,0.5845941161208927,0.375,0.008888888888888889
2025-07-02,2025-07-10,2025-09-03,0.6503656554712892,0.6757508342602893,0.5854204285542314,0.803921568627451,0.17018909899888765
2025-08-27,2025-09-04,2025-11-06,0.517682559590704,0.5283648498331479,0.49956599216426484,0.534516765285996,0.5639599555061179
2025-10-30,2025-11-07,2026-01-05,0.6464352478363493,0.5855555555555556,0.5245318646734854,0.7574257425742574,0.22444444444444445
2025-12-25,2026-01-06,2026-03-10,0.6122067610179643,0.5580878265703169,0.5437748439441417,0.6085365853658536,0.4558087826570317
