train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
2023-01-05,2023-01-13,2023-03-16,0.6186775785583051,0.5836776859504132,0.6017353177830272,0.625,0.03305785123966942
2023-03-09,2023-03-17,2023-05-17,0.38590638548019696,0.4358407079646018,0.43136159894187664,0.30726256983240224,0.19800884955752213
2023-05-10,2023-05-18,2023-07-14,0.5266603462901053,0.5161290322580645,0.5280325333067213,0.5652173913043478,0.025583982202447165
2023-07-07,2023-07-17,2023-09-08,0.5764219980042133,0.4399551066217733,0.5489494400709614,0.4265402843601896,0.23681257014590348
2023-09-01,2023-09-11,2023-11-13,0.6476655697944557,0.6025974025974026,0.6020533992819235,0.6052631578947368,0.1974025974025974
2023-11-06,2023-11-14,2024-01-09,0.3966950707142434,0.4832904884318766,0.40379608260843836,0.42783505154639173,0.2493573264781491
2024-01-02,2024-01-10,2024-03-13,0.6744328946694659,0.5693430656934306,0.5809778619830338,0.6299694189602446,0.47737226277372263
2024-03-06,2024-03-14,2024-05-15,0.6247759920352722,0.5438066465256798,0.5716019532546343,0.6181818181818182,0.24924471299093656
2024-05-08,2024-05-16,2024-07-11,0.5248263888888889,0.5189873417721519,0.4712826797385621,0.6612903225806451,0.1962025316455696
2024-07-04,2024-07-12,2024-09-05,0.5448685656713684,0.6089743589743589,0.4714691335409416,0.7532467532467533,0.1233974358974359
2024-08-29,2024-09-06,2024-11-11,0.44681366955727975,0.4506517690875233,0.4494166476494751,0.5616438356164384,0.2718808193668529
2024-11-04,2024-11-12,2025-01-07,0.5656198347107437,0.5179704016913319,0.5698989898989899,0.5,0.34249471458773784
2024-12-30,2025-01-08,2025-03-12,0.6627036868456987,0.6255060728744939,0.6287573964497042,0.6206896551724138,0.11740890688259109
2025-03-05,2025-03-13,2025-05-13,0.5456282175032174,0.4611973392461197,0.502594111969112,0.4869109947643979,0.42350332594235035
2025-05-06,2025-05-14,2025-07-09,0.5277417261518494,0.5,0.5295911745619727,0.43548387096774194,0.17032967032967034
2025-07-02,2025-07-10,2025-09-03,0.6355832655642902,0.7009063444108762,0.5987620854793531,0.7857142857142857,0.2537764350453172
2025-08-27,2025-09-04,2025-11-06,0.5346250971250972,0.5694444444444444,0.5361305361305362,0.5792349726775956,0.6354166666666666
2025-10-30,2025-11-07,2026-01-05,0.5704972710733779,0.5493562231759657,0.4942389326864766,0.5106382978723404,0.2017167381974249
2025-12-25,2026-01-06,2026-03-10,0.5289601293103449,0.5409836065573771,0.5241109913793104,0.5245901639344263,0.5
