variant,label,threshold_mode,decision_metric,decision_threshold,confidence_threshold,neutral_quantile,label_denoise_mode,sample_weight_halflife_days,max_train_days,enable_layered_model,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_high_conf_accuracy,calibrated_high_conf_balanced_accuracy,calibrated_coverage,selection_score,signal_priority_score,accuracy_priority_score,balanced_priority_score,joint_priority_score,signal_quality,delta_selection_score_vs_full,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_auc_vs_full
ablate_recent_window,Ablation: full history window,calibrated,joint,0.51,0.68,0.985,fixed,240,,True,0.6369081810592956,0.6225820799433398,0.6034547078277573,0.6661643939081833,0.44658624645398326,0.6278026905829597,0.6106643356643358,0.7258064516129032,0.6317934782608696,0.13901345291479822,0.6210009799172126,0.45716797665856057,0.6363981370196109,0.5888812455262249,0.6210009799172126,0.29749985619674835,0.00555716674125839,-0.004189264580353513,0.0014330735505766468,0.0047501654840189644
full_method,RDSW full (benchmark-thoughtful),calibrated,joint,0.49,0.65,0.985,fixed,240,260.0,True,0.6321580155752766,0.6267713445236933,0.6020216342771807,0.6627660066612894,0.47492012596027183,0.6322869955156951,0.5948863636363637,0.7068965517241379,0.6270833333333333,0.2600896860986547,0.6154438131759542,0.4644185510810924,0.6341185093635768,0.5836783071669194,0.6154438131759542,0.3147609153657659,0.0,0.0,0.0,0.0
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,fixed,fixed,0.5,0.6,0.985,fixed,240,260.0,True,0.6321580155752766,0.6267713445236933,0.6020216342771807,0.6627660066612894,0.47492012596027183,0.625560538116592,0.5937718531468531,0.6666666666666666,0.6000000000000001,0.47085201793721976,0.611915377626078,0.4644185510810924,0.6258924698449413,0.5814951630968638,0.611915377626078,0.3147609153657659,-0.003528435549876252,0.0,0.0,0.0
ablate_time_decay,Ablation: remove time decay,calibrated,joint,0.56,0.66,0.985,fixed,100000,260.0,True,0.6314683105541009,0.6041411193331936,0.5821561834747606,0.6567363089585312,0.47932851753345773,0.5964125560538116,0.6082167832167833,0.7317073170731707,0.6151515151515152,0.18385650224215247,0.6052300337271778,0.4583367378449922,0.6169710294052366,0.5805735977101744,0.6052300337271778,0.3147924413834876,-0.010213779448776439,-0.02263022519049973,-0.01986545080242008,-0.0006897050211757128
ablate_denoise_strength,Ablation: weaker denoising,calibrated,joint,0.48,0.67,0.95,fixed,240,260.0,True,0.6292732236830965,0.5919174949196083,0.5791429392617029,0.6549125827823662,0.5016149881948363,0.6200317965023847,0.5838915790845132,0.7034220532319392,0.6247117080450414,0.20906200317965024,0.6046928413824136,0.4638545102556434,0.6243360036397662,0.5764652011983491,0.6046928413824136,0.32851396748102635,-0.010750971793540565,-0.034853849604085,-0.02287869501547779,-0.0028847918921801607
