variant,label,threshold_mode,decision_metric,decision_threshold,confidence_threshold,neutral_quantile,label_denoise_mode,sample_weight_halflife_days,max_train_days,enable_layered_model,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_high_conf_accuracy,calibrated_high_conf_balanced_accuracy,calibrated_coverage,selection_score,signal_priority_score,accuracy_priority_score,balanced_priority_score,joint_priority_score,signal_quality,delta_selection_score_vs_full,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_auc_vs_full
full_method,RDSW full (benchmark-thoughtful),calibrated,joint,0.53,0.72,0.985,fixed,240,260.0,True,0.7024141052150963,0.6291598458323419,0.6411686498739843,0.6831741075135438,0.5296304160364246,0.6481481481481481,0.6619286510590858,0.8679245283018868,0.7436868686868687,0.12268518518518519,0.659775970164765,0.5137483093990701,0.6803327551602049,0.636570729735416,0.659775970164765,0.36182978678771127,0.0,0.0,0.0,0.0
ablate_time_decay,Ablation: remove time decay,calibrated,joint,0.51,0.71,0.985,fixed,100000,260.0,True,0.7031558375111793,0.6447910095933268,0.6576007169002038,0.6739400997553172,0.4889445722687175,0.6458333333333334,0.6475752508361203,0.8679245283018868,0.6816770186335404,0.12268518518518519,0.6523494466273722,0.5026710594770971,0.6769021160822836,0.6264502990927835,0.6523494466273722,0.3295193538096004,-0.007426523537392815,0.015631163760984945,0.016432067026219577,0.0007417322960829864
ablate_recent_window,Ablation: full history window,calibrated,joint,0.53,0.68,0.985,fixed,240,,True,0.7041432274349881,0.6180170076653687,0.6397103917537347,0.6756236220767113,0.4777863143202,0.6157407407407407,0.6309921962095875,0.7816091954022989,0.677536231884058,0.2013888888888889,0.6314441443711465,0.49414362314296584,0.6478756775313605,0.6109906909924667,0.6314441443711465,0.3228037202596956,-0.02833182579361848,-0.011142838166973146,-0.0014582581202495781,0.0017291222198918543
ablate_threshold_calibration,Ablation: fixed thresholds 0.50/0.60,fixed,fixed,0.5,0.6,0.985,fixed,240,260.0,True,0.7024141052150963,0.6291598458323419,0.6411686498739843,0.6831741075135438,0.5296304160364246,0.625,0.6145484949832776,0.6828193832599119,0.6327770096780565,0.5254629629629629,0.6280382332639847,0.5137483093990701,0.6408263283557473,0.6094626224642654,0.6280382332639847,0.36182978678771127,-0.0317377369007803,0.0,0.0,0.0
ablate_denoise_strength,Ablation: weaker denoising,calibrated,joint,0.48,0.65,0.95,fixed,240,260.0,True,0.6566969387951292,0.595566812933251,0.5907576968634812,0.6636000544340986,0.5309728766290458,0.6172441579371475,0.5825202584318878,0.6852791878172588,0.6620838117106774,0.3174858984689766,0.6055636812455789,0.48474351173510255,0.624756993128067,0.5830199065210687,0.6055636812455789,0.3523536298340647,-0.05421228891918606,-0.03359303289909088,-0.05041095301050302,-0.04571716641996704
