variant,label,train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
full_method,RDSW full (benchmark-thoughtful),2023-03-08,2023-03-16,2023-05-26,0.691919191919192,0.6170212765957447,0.6553030303030303,0.6363636363636364,0.46808510638297873
full_method,RDSW full (benchmark-thoughtful),2023-05-23,2023-05-30,2023-07-26,0.6152927120669056,0.5517241379310345,0.5424133811230585,0.7142857142857143,0.3620689655172414
full_method,RDSW full (benchmark-thoughtful),2023-07-21,2023-07-27,2023-10-12,0.836038961038961,0.68,0.6899350649350648,0.7368421052631579,0.76
full_method,RDSW full (benchmark-thoughtful),2023-10-09,2023-10-13,2024-01-03,0.4545454545454546,0.47058823529411764,0.5404040404040404,0.36363636363636365,0.43137254901960786
full_method,RDSW full (benchmark-thoughtful),2023-12-25,2024-01-08,2024-05-09,0.7687747035573123,0.7555555555555555,0.7529644268774703,0.8,0.4444444444444444
full_method,RDSW full (benchmark-thoughtful),2024-04-29,2024-05-21,2024-08-30,0.4853801169590643,0.45652173913043476,0.46686159844054576,0.5,0.5652173913043478
full_method,RDSW full (benchmark-thoughtful),2024-08-16,2024-09-04,2025-01-09,0.8688888888888889,0.8,0.7833333333333333,0.8823529411764706,0.37777777777777777
full_method,RDSW full (benchmark-thoughtful),2024-12-26,2025-01-10,2025-05-15,0.7878787878787878,0.717391304347826,0.5466200466200466,0.8275862068965517,0.6304347826086957
full_method,RDSW full (benchmark-thoughtful),2025-05-09,2025-05-16,2025-12-03,0.8130081300813008,0.6136363636363636,0.7926829268292683,0.6875,0.7272727272727273
ablate_denoise_strength,Ablation: weaker denoising,2023-01-05,2023-01-11,2023-03-16,0.6025039123630673,0.6122448979591837,0.5372978612415231,0.6976744186046512,0.4387755102040816
ablate_denoise_strength,Ablation: weaker denoising,2023-03-13,2023-03-20,2023-05-22,0.6056338028169014,0.625,0.5909859154929578,0.6571428571428571,0.3645833333333333
ablate_denoise_strength,Ablation: weaker denoising,2023-05-17,2023-05-23,2023-07-19,0.6085213032581454,0.5748031496062992,0.5556390977443609,0.6764705882352942,0.2677165354330709
ablate_denoise_strength,Ablation: weaker denoising,2023-07-14,2023-07-20,2023-09-14,0.756993006993007,0.6146788990825688,0.6622377622377622,0.647887323943662,0.6513761467889908
ablate_denoise_strength,Ablation: weaker denoising,2023-09-11,2023-09-15,2023-11-17,0.5397692774741955,0.5340909090909091,0.5091074681238615,0.5531914893617021,0.5340909090909091
ablate_denoise_strength,Ablation: weaker denoising,2023-11-14,2023-11-20,2024-01-16,0.4985398414685023,0.5,0.4962453066332916,0.5490196078431373,0.5204081632653061
ablate_denoise_strength,Ablation: weaker denoising,2024-01-11,2024-01-17,2024-03-29,0.6474358974358975,0.620253164556962,0.6230769230769231,0.6904761904761905,0.5316455696202531
ablate_denoise_strength,Ablation: weaker denoising,2024-03-25,2024-04-01,2024-06-06,0.4875,0.4931506849315068,0.46125,0.5454545454545454,0.3013698630136986
ablate_denoise_strength,Ablation: weaker denoising,2024-06-03,2024-06-07,2024-08-08,0.7192460317460319,0.6,0.6011904761904763,0.7948717948717948,0.43333333333333335
ablate_denoise_strength,Ablation: weaker denoising,2024-08-05,2024-08-09,2024-10-18,0.6694444444444444,0.6578947368421053,0.65,0.6875,0.42105263157894735
ablate_denoise_strength,Ablation: weaker denoising,2024-10-15,2024-10-21,2025-01-07,0.7649823736780258,0.6166666666666667,0.6480611045828437,0.7941176470588235,0.5666666666666667
ablate_denoise_strength,Ablation: weaker denoising,2024-12-31,2025-01-08,2025-03-25,0.7612244897959184,0.782608695652174,0.6841836734693878,0.8269230769230769,0.7536231884057971
ablate_denoise_strength,Ablation: weaker denoising,2025-03-20,2025-03-26,2025-05-30,0.5964444444444444,0.5714285714285714,0.5066666666666666,0.6170212765957447,0.6714285714285714
ablate_denoise_strength,Ablation: weaker denoising,2025-05-27,2025-06-03,2025-08-18,0.8649425287356322,0.5625,0.6839080459770115,0.56,0.78125
ablate_denoise_strength,Ablation: weaker denoising,2025-08-13,2025-08-19,2026-01-08,0.7272727272727272,0.5681818181818182,0.6515151515151516,0.65625,0.7272727272727273
ablate_time_decay,Ablation: remove time decay,2023-03-08,2023-03-16,2023-05-26,0.6641414141414141,0.5957446808510638,0.6414141414141414,0.6,0.425531914893617
ablate_time_decay,Ablation: remove time decay,2023-05-23,2023-05-30,2023-07-26,0.6654719235364397,0.6206896551724138,0.6140979689366786,0.6818181818181818,0.3793103448275862
ablate_time_decay,Ablation: remove time decay,2023-07-21,2023-07-27,2023-10-12,0.8214285714285714,0.72,0.7256493506493507,0.78125,0.64
ablate_time_decay,Ablation: remove time decay,2023-10-09,2023-10-13,2024-01-03,0.46801346801346805,0.39215686274509803,0.40404040404040403,0.4090909090909091,0.43137254901960786
ablate_time_decay,Ablation: remove time decay,2023-12-25,2024-01-08,2024-05-09,0.7845849802371541,0.7333333333333333,0.7312252964426877,0.7727272727272727,0.4888888888888889
ablate_time_decay,Ablation: remove time decay,2024-04-29,2024-05-21,2024-08-30,0.5224171539961013,0.5434782608695652,0.5487329434697856,0.5652173913043478,0.5
ablate_time_decay,Ablation: remove time decay,2024-08-16,2024-09-04,2025-01-09,0.8422222222222222,0.8222222222222222,0.8166666666666667,0.8125,0.35555555555555557
ablate_time_decay,Ablation: remove time decay,2024-12-26,2025-01-10,2025-05-15,0.7552447552447552,0.7391304347826086,0.6317016317016317,0.8,0.5434782608695652
