train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
2023-01-05,2023-01-13,2023-03-20,0.5677559912854031,0.5578231292517006,0.4950980392156863,0.7857142857142857,0.2857142857142857
2023-03-13,2023-03-21,2023-05-19,0.5099110032362459,0.6026490066225165,0.5363066343042071,0.6122448979591837,0.32450331125827814
2023-05-12,2023-05-22,2023-07-18,0.7111111111111111,0.6721311475409836,0.6335164835164835,0.7878787878787878,0.18032786885245902
2023-07-11,2023-07-19,2023-09-12,0.75,0.5568862275449101,0.6505451713395638,0.6428571428571429,0.5029940119760479
2023-09-05,2023-09-13,2023-11-15,0.6649429002370179,0.6408450704225352,0.6335918982977806,0.6818181818181818,0.4647887323943662
2023-11-08,2023-11-16,2024-01-11,0.40790166812993855,0.46710526315789475,0.44925373134328356,0.4230769230769231,0.5131578947368421
2024-01-04,2024-01-12,2024-03-15,0.7090511348099535,0.6639344262295082,0.6482089144107192,0.75,0.32786885245901637
2024-03-08,2024-03-18,2024-05-17,0.6253794778384942,0.5826086956521739,0.5884942319368549,0.6521739130434783,0.4
2024-05-10,2024-05-20,2024-07-16,0.5643224699828474,0.5307692307692308,0.5627297231070816,0.42857142857142855,0.3230769230769231
2024-07-09,2024-07-17,2024-09-10,0.6497448294386248,0.6209677419354839,0.6219446682782702,0.6774193548387096,0.25
2024-09-03,2024-09-11,2024-11-19,0.7043108682452944,0.6704545454545454,0.659077109896782,0.8333333333333334,0.20454545454545456
2024-11-11,2024-11-20,2025-01-15,0.6009523809523809,0.6105263157894737,0.5964285714285714,0.6363636363636364,0.5789473684210527
2025-01-08,2025-01-16,2025-03-24,0.7763845350052246,0.7263157894736842,0.6580459770114943,0.8596491228070176,0.6
2025-03-17,2025-03-25,2025-05-26,0.5438596491228069,0.5918367346938775,0.560119811724433,0.5254237288135594,0.6020408163265306
2025-05-19,2025-05-27,2025-07-30,0.6737967914438503,0.5316455696202531,0.6136363636363636,0.3125,0.4050632911392405
2025-07-17,2025-08-01,2025-10-22,0.7411242603550297,0.7846153846153846,0.6923076923076923,0.8333333333333334,0.7384615384615385
2025-10-15,2025-10-23,2026-01-23,0.5606060606060607,0.5490196078431373,0.5252525252525253,0.6086956521739131,0.45098039215686275
