train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
2022-10-17,2022-10-21,2022-11-23,0.6047619047619047,0.6774193548387096,0.5,0.6785714285714286,0.9032258064516129
2022-11-18,2022-11-24,2022-12-23,0.594017094017094,0.5806451612903226,0.5,0.625,0.7741935483870968
2022-12-20,2022-12-26,2023-02-07,,1.0,1.0,1.0,0.6521739130434783
2023-02-02,2023-02-08,2023-03-15,0.509090909090909,0.8148148148148148,0.5,0.7916666666666666,0.8888888888888888
2023-03-08,2023-03-16,2023-04-18,0.5333333333333333,0.782608695652174,0.5,0.75,0.8695652173913043
2023-04-13,2023-04-19,2023-05-26,0.8518518518518519,0.75,0.5,0.75,1.0
2023-05-23,2023-05-30,2023-06-28,0.5777777777777777,0.782608695652174,0.5,0.782608695652174,1.0
2023-06-21,2023-06-29,2023-07-26,0.7727272727272727,0.37142857142857144,0.5,0.38235294117647056,0.9714285714285714
2023-07-21,2023-07-27,2023-08-29,0.8968253968253969,0.5217391304347826,0.6071428571428571,0.5714285714285714,0.6086956521739131
2023-08-24,2023-09-04,2023-10-12,0.6813186813186813,0.5555555555555556,0.5631868131868132,0.5555555555555556,0.6666666666666666
2023-10-09,2023-10-13,2023-11-24,0.3007518796992481,0.6923076923076923,0.47368421052631576,0.6666666666666666,0.8076923076923077
2023-11-21,2023-11-27,2024-01-03,0.4220779220779221,0.4,0.35714285714285715,0.6666666666666666,0.24
2023-12-25,2024-01-08,2024-03-06,0.71875,0.3333333333333333,0.5,0.4666666666666667,0.625
2024-02-19,2024-03-08,2024-05-09,0.9888888888888889,0.9047619047619048,0.8333333333333333,1.0,0.47619047619047616
2024-04-29,2024-05-21,2024-06-28,0.27999999999999997,0.52,0.45,0.4,0.4
2024-06-21,2024-07-01,2024-08-30,0.6296296296296297,0.5238095238095238,0.5138888888888888,0.6,0.47619047619047616
2024-08-16,2024-09-04,2024-11-19,0.9375,0.7391304347826086,0.5714285714285714,0.875,0.6956521739130435
2024-10-17,2024-11-20,2025-01-09,0.7767857142857143,0.6818181818181818,0.6160714285714286,0.7692307692307693,0.5909090909090909
2024-12-26,2025-01-10,2025-03-28,0.6964285714285715,0.6521739130434783,0.46875,0.7,0.8695652173913043
2025-03-21,2025-04-01,2025-05-15,0.8529411764705882,0.7391304347826086,0.5,0.8095238095238095,0.9130434782608695
2025-05-09,2025-05-16,2025-08-11,,0.6086956521739131,0.6086956521739131,0.75,0.6956521739130435
2025-07-14,2025-08-13,2025-12-03,0.9444444444444445,0.9047619047619048,0.6666666666666666,1.0,0.6190476190476191
